object_name,local_path,relative_path,sha256,source_repository,repository_HEAD,classification,schema,row_count,key_columns,unit,features,availability_time,target_label,training_cutoff,model_or_checkpoint,uncertainty_quantiles,running_remaining_suitable,pending_scheduling_suitable,reason
RADDiT encrypted semantic runtime embedding chunk_028.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_028.parquet,data/encrypted_embeddings/chunk_028.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_029.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_029.parquet,data/encrypted_embeddings/chunk_029.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_030.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_030.parquet,data/encrypted_embeddings/chunk_030.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_031.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_031.parquet,data/encrypted_embeddings/chunk_031.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_032.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_032.parquet,data/encrypted_embeddings/chunk_032.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_033.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_033.parquet,data/encrypted_embeddings/chunk_033.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_034.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_034.parquet,data/encrypted_embeddings/chunk_034.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_035.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_035.parquet,data/encrypted_embeddings/chunk_035.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_036.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_036.parquet,data/encrypted_embeddings/chunk_036.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_037.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_037.parquet,data/encrypted_embeddings/chunk_037.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_038.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_038.parquet,data/encrypted_embeddings/chunk_038.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_039.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_039.parquet,data/encrypted_embeddings/chunk_039.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_040.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_040.parquet,data/encrypted_embeddings/chunk_040.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_041.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_041.parquet,data/encrypted_embeddings/chunk_041.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_042.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_042.parquet,data/encrypted_embeddings/chunk_042.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_043.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_043.parquet,data/encrypted_embeddings/chunk_043.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_044.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_044.parquet,data/encrypted_embeddings/chunk_044.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
