object_name,local_path,relative_path,sha256,source_repository,repository_HEAD,classification,schema,row_count,key_columns,unit,total_per_node_per_gpu,predicted_or_realized,time_of_availability,Kestrel_specific,joinable_to_current_trace,suitable_for_day_ahead,reason
RADDiT encrypted semantic embedding chunk_031.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_031.parquet,data/encrypted_embeddings/chunk_031.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_032.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_032.parquet,data/encrypted_embeddings/chunk_032.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_033.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_033.parquet,data/encrypted_embeddings/chunk_033.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_034.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_034.parquet,data/encrypted_embeddings/chunk_034.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_035.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_035.parquet,data/encrypted_embeddings/chunk_035.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_036.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_036.parquet,data/encrypted_embeddings/chunk_036.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_037.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_037.parquet,data/encrypted_embeddings/chunk_037.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_038.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_038.parquet,data/encrypted_embeddings/chunk_038.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_039.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_039.parquet,data/encrypted_embeddings/chunk_039.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_040.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_040.parquet,data/encrypted_embeddings/chunk_040.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_041.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_041.parquet,data/encrypted_embeddings/chunk_041.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_042.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_042.parquet,data/encrypted_embeddings/chunk_042.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_043.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_043.parquet,data/encrypted_embeddings/chunk_043.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_044.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_044.parquet,data/encrypted_embeddings/chunk_044.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
Kestrel anonymized archive energy fields,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Kestrel Jobs Data\esif.hpc.kestrel.job-anon.zip,external Kestrel archive,3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,01_Kestrel_job_trace,,B_DIRECT_PER_JOB_MEASURED_POWER,"consumed_energy_joules,consumed_energy_raw_joules,consumed_energy_raw_watt_hours and TDP estimates","approximately 11,000,000","id,job_id,array_pos",J/Wh,node-level monitoring/derived energy; not a submission prediction,realized/estimated ex-post,after execution,True,True,False,"Identity is present but energy is future realized information, not causal predicted power."
MobileESS V35R3A homogeneous IT proxy,dayahead/artifacts/v35r3a_kestrel_scheduler_temporal/V35R3A_KQ0_GRID_EFFECT.json,MobileESS parent evidence,,MobileESS,7db7b46a8aa30b9ea763ea1c1a8abd97b5026b31,D_AGGREGATE_CLUSTER_POWER,equivalent_IT_kW_per_requested_GPU,96,slot only,kW per requested GPU proxy,PER_GPU HOMOGENEOUS PROXY,aggregate proxy,frozen before policy,False,False,H0_ONLY,Supports aggregate H0 trajectory but cannot rank equal-resource jobs.
MobileESS independent runtime-source IT_power_kW,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v35r3b_job_power_runtime_forensic\stage7\r13_zero_burnin\C_TO_D_FINAL\independent_job_authority\PER_JOB_RUNTIME_SOURCE_CANONICAL_V2044R5.parquet,stage7/r13_zero_burnin/C_TO_D_FINAL/independent_job_authority/PER_JOB_RUNTIME_SOURCE_CANONICAL_V2044R5.parquet,faa537141d67f468f10b32d741d8193c14125cd745c042d132510b72e111f8ba,MobileESS,7db7b46a8aa30b9ea763ea1c1a8abd97b5026b31,I_UNKNOWN,IT_power_kW field,59901,source_job_id,kW,UNKNOWN,no valid values,not applicable,True,False,False,IT_power_kW non-null rows=0; rack_power_valid rows=0.
